Player,G,MP,Unnamed: 7_level_1,Player Shooting %_FG,Player Shooting %_2P,Player Shooting %_3P,Player Shooting %_eFG,Player Shooting %_FT,Player Shooting %_TS,Player Shooting %_FTr,Player Shooting %_3PAr,Unnamed: 16_level_1,League-Adjusted_FG+,League-Adjusted_2P+,League-Adjusted_3P+,League-Adjusted_eFG+,League-Adjusted_FT+,League-Adjusted_TS+,League-Adjusted_FTr+,League-Adjusted_3PAr+,Unnamed: 25_level_1,FG Add,TS Add
Precious Achiuwa,44.0,1047.0,,0.422,0.446,0.296,0.446,0.557,0.462,0.211,0.163,,93.0,85.0,85.0,85.0,72.0,83.0,88.0,41.0,,-52.9,-70.7
Steven Adams,52.0,1354.0,,0.53,0.53,,0.53,0.582,0.555,0.53,0.0,,116.0,101.0,,101.0,75.0,99.0,221.0,,,2.1,-2.9
Bam Adebayo,30.0,985.0,,0.518,0.522,0.0,0.518,0.772,0.578,0.455,0.008,,114.0,99.0,,99.0,100.0,103.0,190.0,2.0,,-6.2,17.6
Santi Aldama,27.0,277.0,,0.381,0.569,0.103,0.402,0.6,0.425,0.206,0.402,,84.0,108.0,29.0,77.0,78.0,76.0,86.0,100.0,,-23.9,-28.3
LaMarcus Aldridge,36.0,825.0,,0.555,0.582,0.316,0.571,0.853,0.601,0.182,0.102,,122.0,111.0,90.0,109.0,110.0,107.0,76.0,25.0,,34.0,33.4
Nickeil Alexander-Walker,50.0,1317.0,,0.375,0.434,0.311,0.45,0.722,0.474,0.153,0.483,,82.0,82.0,89.0,86.0,93.0,85.0,64.0,120.0,,-95.2,-115.5
Grayson Allen,46.0,1298.0,,0.428,0.5,0.394,0.562,0.857,0.584,0.128,0.68,,94.0,95.0,113.0,107.0,111.0,104.0,53.0,170.0,,31.7,22.8
Jarrett Allen,47.0,1531.0,,0.667,0.679,0.1,0.668,0.686,0.686,0.439,0.022,,146.0,129.0,29.0,127.0,89.0,123.0,183.0,5.0,,132.3,140.6
Jose Alvarado,27.0,335.0,,0.42,0.5,0.306,0.483,0.667,0.503,0.176,0.412,,92.0,95.0,88.0,92.0,86.0,90.0,74.0,103.0,,-10.1,-14.4
Justin Anderson,6.0,77.0,,0.316,0.75,0.2,0.395,0.857,0.476,0.368,0.789,,69.0,142.0,57.0,75.0,111.0,85.0,154.0,197.0,,-5.0,-3.7
Justin Anderson,3.0,47.0,,0.5,1.0,0.333,0.625,0.75,0.666,0.5,0.75,,110.0,190.0,95.0,119.0,97.0,119.0,209.0,187.0,,1.6,2.1
Justin Anderson,3.0,30.0,,0.182,0.5,0.111,0.227,1.0,0.325,0.273,0.818,,40.0,95.0,32.0,43.0,129.0,58.0,114.0,204.0,,-6.6,-5.8
Kyle Anderson,43.0,955.0,,0.431,0.46,0.342,0.473,0.657,0.497,0.225,0.244,,95.0,87.0,98.0,90.0,85.0,89.0,94.0,61.0,,-32.9,-42.2
Giannis Antetokounmpo,46.0,1499.0,,0.544,0.607,0.303,0.575,0.722,0.627,0.599,0.21,,119.0,115.0,87.0,110.0,94.0,112.0,250.0,52.0,,84.8,144.8
Thanasis Antetokounmpo,33.0,347.0,,0.458,0.514,0.091,0.464,0.625,0.492,0.289,0.133,,101.0,98.0,26.0,88.0,81.0,88.0,121.0,33.0,,-10.2,-12.6
Carmelo Anthony,50.0,1327.0,,0.437,0.496,0.392,0.548,0.824,0.583,0.227,0.565,,96.0,94.0,112.0,104.0,107.0,104.0,95.0,141.0,,23.3,27.5
Cole Anthony,42.0,1396.0,,0.392,0.441,0.327,0.462,0.851,0.516,0.27,0.429,,86.0,84.0,94.0,88.0,110.0,92.0,113.0,107.0,,-82.0,-62.7
OG Anunoby,38.0,1413.0,,0.446,0.517,0.358,0.526,0.743,0.549,0.178,0.449,,98.0,98.0,103.0,100.0,96.0,98.0,74.0,112.0,,0.9,-12.4
Trevor Ariza,18.0,350.0,,0.362,0.5,0.333,0.5,0.7,0.518,0.145,0.826,,80.0,95.0,95.0,95.0,91.0,93.0,60.0,206.0,,-3.5,-6.1
D.J. Augustin,34.0,510.0,,0.404,0.4,0.406,0.548,0.868,0.596,0.279,0.706,,89.0,76.0,116.0,104.0,112.0,107.0,117.0,176.0,,6.1,11.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Deni Avdija,53.0,1206.0,,0.444,0.556,0.306,0.512,0.747,0.544,0.233,0.447,,97.0,106.0,87.0,98.0,97.0,97.0,97.0,112.0,,-8.4,-11.0
Joel Ayayi,7.0,20.0,,0.167,0.2,0.0,0.167,,0.167,0.0,0.167,,37.0,38.0,,32.0,,30.0,,42.0,,-4.3,-4.7
Deandre Ayton,33.0,967.0,,0.635,0.643,0.25,0.637,0.725,0.656,0.25,0.022,,139.0,122.0,72.0,121.0,94.0,117.0,104.0,5.0,,81.4,78.2
