Player,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
Precious Achiuwa,44,1047,11.9,0.462,0.163,0.211,10.0,23.3,16.3,7.0,1.1,2.5,10.8,16.7,,0.1,1.2,1.3,0.059,,-2.5,-0.7,-3.2,-0.3
Steven Adams,52,1354,17.0,0.555,0.0,0.53,17.3,21.1,19.2,15.2,1.7,2.2,21.2,12.1,,2.4,1.8,4.2,0.147,,0.8,0.5,1.3,1.1
Bam Adebayo,30,985,20.2,0.578,0.008,0.455,9.2,24.9,17.1,17.8,2.4,2.1,15.8,25.4,,1.5,1.8,3.3,0.161,,0.9,2.0,2.9,1.2
Santi Aldama,27,277,8.6,0.425,0.402,0.206,8.6,15.9,12.2,6.7,0.3,2.3,7.8,17.2,,-0.1,0.2,0.1,0.025,,-4.6,-2.1,-6.7,-0.3
LaMarcus Aldridge,36,825,20.2,0.601,0.102,0.182,7.2,18.8,13.2,6.2,0.8,4.2,7.4,22.8,,1.6,0.8,2.4,0.142,,1.5,-0.7,0.7,0.6
Nickeil Alexander-Walker,50,1317,10.8,0.474,0.483,0.153,2.9,10.9,6.8,17.0,1.5,1.4,11.2,24.9,,-1.0,0.8,-0.2,-0.007,,-1.5,-1.6,-3.1,-0.4
Grayson Allen,46,1298,13.2,0.584,0.68,0.128,2.1,10.7,6.5,7.6,1.4,1.1,5.7,16.2,,2.0,1.2,3.1,0.115,,0.7,-0.2,0.4,0.8
Jarrett Allen,47,1531,23.2,0.686,0.022,0.439,12.4,24.2,18.5,8.9,1.2,3.7,13.0,18.3,,4.7,3.0,7.7,0.241,,2.7,1.4,4.1,2.4
Jose Alvarado,27,335,15.9,0.503,0.412,0.176,2.9,9.1,5.9,24.7,4.4,0.9,7.2,17.8,,0.4,0.4,0.9,0.125,,-1.1,3.0,1.8,0.3
Justin Anderson,6,77,8.4,0.476,0.789,0.368,2.8,11.0,7.1,15.6,1.3,1.1,12.0,14.2,,0.0,0.1,0.1,0.065,,-3.9,-0.4,-4.3,0.0
Kyle Anderson,43,955,14.4,0.497,0.244,0.225,4.4,20.9,12.5,15.7,2.5,2.5,11.2,16.7,,0.6,1.5,2.1,0.106,,-0.8,1.5,0.7,0.6
Giannis Antetokounmpo,46,1499,32.1,0.627,0.21,0.599,6.2,29.7,18.2,33.8,1.5,4.3,12.5,35.1,,6.4,2.7,9.1,0.293,,7.6,3.6,11.2,5.0
Thanasis Antetokounmpo,33,347,9.2,0.492,0.133,0.289,9.3,13.9,11.7,7.4,1.8,2.3,16.9,13.9,,0.0,0.4,0.4,0.062,,-5.2,0.6,-4.6,-0.2
Carmelo Anthony,50,1327,15.1,0.583,0.565,0.227,3.3,13.2,8.3,5.8,1.3,2.8,7.1,20.1,,1.8,1.2,3.0,0.11,,0.7,-0.6,0.0,0.7
Cole Anthony,42,1396,14.8,0.516,0.429,0.27,2.1,16.8,9.4,30.4,1.3,0.8,13.9,26.2,,0.3,1.0,1.3,0.046,,0.1,-0.8,-0.6,0.5
OG Anunoby,38,1413,15.6,0.549,0.449,0.178,4.5,12.7,8.4,11.1,2.2,1.6,9.8,21.4,,1.7,1.4,3.1,0.107,,0.8,0.1,0.9,1.0
Trevor Ariza,18,350,8.2,0.518,0.826,0.145,1.5,16.5,9.1,8.5,1.4,1.0,9.8,10.0,,0.1,0.3,0.4,0.061,,-2.4,0.2,-2.2,0.0
D.J. Augustin,34,510,10.0,0.596,0.706,0.279,1.5,7.4,4.4,20.9,0.9,0.0,22.8,16.4,,0.3,-0.1,0.2,0.019,,-1.2,-3.1,-4.3,-0.3
Deni Avdija,53,1206,11.7,0.544,0.447,0.233,3.1,19.7,11.6,10.1,1.6,2.1,11.5,14.8,,0.6,1.3,1.9,0.075,,-2.0,1.0,-1.0,0.3
Joel Ayayi,7,20,3.6,0.167,0.167,0.0,5.5,10.6,8.1,25.9,0.0,0.0,0.0,13.3,,0.0,0.0,0.0,-0.094,,-4.1,-1.8,-5.9,0.0
Deandre Ayton,33,967,22.1,0.656,0.022,0.25,10.2,26.9,18.8,7.9,1.4,2.3,12.2,20.5,,2.4,1.8,4.2,0.21,,2.4,1.1,3.6,1.4
Udoka Azubuike,13,149,14.2,0.659,0.0,0.265,9.9,27.4,19.0,0.0,0.3,5.8,20.9,14.0,,0.1,0.2,0.3,0.109,,-3.3,0.3,-3.0,0.0
Marvin Bagley III,30,656,14.6,0.521,0.252,0.191,10.9,24.4,17.6,3.9,0.7,1.4,7.3,18.7,,0.6,0.4,1.0,0.073,,-0.8,-2.6,-3.4,-0.3
