Player,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,44,22,23.8,3.2,7.5,0.422,0.4,1.2,0.296,2.8,6.3,0.446,0.446,0.9,1.6,0.557,2.3,4.9,7.2,1.2,0.5,0.6,1.0,2.0,7.6
Steven Adams,52,51,26.0,2.6,4.9,0.53,0.0,0.0,,2.6,4.9,0.53,0.53,1.5,2.6,0.582,4.4,5.1,9.5,3.1,0.9,0.6,1.6,1.8,6.7
Bam Adebayo,30,30,32.8,6.8,13.2,0.518,0.0,0.1,0.0,6.8,13.1,0.522,0.518,4.6,6.0,0.772,2.7,7.3,10.0,3.5,1.6,0.6,3.0,3.2,18.3
Santi Aldama,27,0,10.3,1.4,3.6,0.381,0.1,1.4,0.103,1.2,2.1,0.569,0.402,0.4,0.7,0.6,0.9,1.5,2.4,0.5,0.1,0.3,0.3,1.0,3.3
LaMarcus Aldridge,36,11,22.9,5.8,10.4,0.555,0.3,1.1,0.316,5.4,9.3,0.582,0.571,1.6,1.9,0.853,1.5,4.1,5.6,0.9,0.4,1.1,0.9,1.8,13.4
Nickeil Alexander-Walker,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8
Grayson Allen,46,45,28.2,4.1,9.5,0.428,2.5,6.5,0.394,1.5,3.0,0.5,0.562,1.0,1.2,0.857,0.5,2.9,3.5,1.5,0.8,0.3,0.6,1.4,11.7
Jarrett Allen,47,47,32.6,6.6,9.9,0.667,0.0,0.2,0.1,6.6,9.7,0.679,0.668,3.0,4.3,0.686,3.6,7.6,11.2,1.8,0.8,1.4,1.8,1.8,16.2
Jose Alvarado,27,1,12.4,1.9,4.4,0.42,0.6,1.8,0.306,1.3,2.6,0.5,0.483,0.5,0.8,0.667,0.3,1.0,1.3,2.0,1.1,0.1,0.4,1.4,4.8
Justin Anderson,6,0,12.8,1.0,3.2,0.316,0.5,2.5,0.2,0.5,0.7,0.75,0.395,1.0,1.2,0.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
Kyle Anderson,43,8,22.2,3.1,7.2,0.431,0.6,1.8,0.342,2.5,5.5,0.46,0.473,1.1,1.6,0.657,1.0,4.3,5.3,2.6,1.1,0.6,1.0,1.5,7.9
Giannis Antetokounmpo,46,46,32.6,10.0,18.4,0.544,1.2,3.9,0.303,8.8,14.6,0.607,0.575,8.0,11.0,0.722,1.9,9.4,11.3,6.0,1.0,1.4,3.3,3.2,29.2
Thanasis Antetokounmpo,33,5,10.5,1.2,2.5,0.458,0.0,0.3,0.091,1.1,2.2,0.514,0.464,0.5,0.7,0.625,0.9,1.4,2.3,0.6,0.4,0.2,0.6,1.7,2.8
Carmelo Anthony,50,3,26.5,4.6,10.5,0.437,2.3,5.9,0.392,2.3,4.6,0.496,0.548,2.0,2.4,0.824,0.8,3.3,4.2,1.0,0.7,0.8,0.9,2.2,13.4
Cole Anthony,42,42,33.2,6.0,15.4,0.392,2.2,6.6,0.327,3.9,8.8,0.441,0.462,3.5,4.2,0.851,0.6,5.2,5.9,6.1,0.9,0.3,2.8,2.7,17.8
OG Anunoby,38,38,37.2,6.9,15.5,0.446,2.5,7.0,0.358,4.4,8.6,0.517,0.526,2.1,2.8,0.743,1.6,4.2,5.8,2.7,1.6,0.6,1.8,3.0,18.4
Trevor Ariza,18,8,19.4,1.4,3.8,0.362,1.1,3.2,0.333,0.3,0.7,0.5,0.5,0.4,0.6,0.7,0.3,3.1,3.3,1.3,0.6,0.2,0.4,1.0,4.2
D.J. Augustin,34,2,15.0,1.6,4.0,0.404,1.1,2.8,0.406,0.5,1.2,0.4,0.548,1.0,1.1,0.868,0.2,1.0,1.2,2.2,0.3,0.0,1.3,0.5,5.4
Deni Avdija,53,6,22.8,2.7,6.1,0.444,0.8,2.7,0.306,1.9,3.4,0.556,0.512,1.1,1.4,0.747,0.6,4.2,4.9,1.6,0.8,0.6,0.9,2.3,7.3
Joel Ayayi,7,0,2.9,0.1,0.9,0.167,0.0,0.1,0.0,0.1,0.7,0.2,0.167,0.0,0.0,,0.1,0.3,0.4,0.6,0.0,0.0,0.0,0.0,0.3
Deandre Ayton,33,33,29.3,7.0,11.0,0.635,0.1,0.2,0.25,6.9,10.8,0.643,0.637,2.0,2.8,0.725,2.8,7.6,10.4,1.5,0.8,0.8,1.7,2.3,16.1
Udoka Azubuike,13,5,11.5,1.8,2.6,0.676,0.0,0.0,,1.8,2.6,0.676,0.676,0.3,0.7,0.444,1.0,3.0,4.0,0.0,0.1,0.8,0.8,1.3,3.8
Marvin Bagley III,30,17,21.9,3.8,8.2,0.463,0.5,2.1,0.242,3.3,6.1,0.538,0.494,1.2,1.6,0.745,2.2,4.9,7.2,0.6,0.3,0.4,0.7,1.7,9.3
LaMelo Ball,49,49,32.4,7.1,16.8,0.423,2.6,7.1,0.361,4.5,9.7,0.468,0.499,3.0,3.5,0.865,1.6,5.5,7.1,7.5,1.6,0.4,3.1,3.1,19.8
Lonzo Ball,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
Mo Bamba,45,43,26.2,4.0,8.5,0.47,1.3,3.7,0.343,2.7,4.8,0.567,0.545,0.8,1.1,0.792,2.1,5.9,8.0,1.3,0.6,1.9,1.3,2.6,10.1
Desmond Bane,52,52,30.1,6.6,14.4,0.459,2.8,6.9,0.408,3.8,7.5,0.505,0.556,1.5,1.7,0.897,0.6,3.9,4.4,2.5,1.1,0.5,1.5,2.4,17.5
Dalano Banton,43,1,11.7,1.4,3.5,0.403,0.3,0.9,0.289,1.1,2.6,0.441,0.44,0.4,0.7,0.643,0.6,1.6,2.2,1.6,0.5,0.2,1.0,1.2,3.5
Cat Barber,3,0,4.3,0.0,1.3,0.0,0.0,0.0,,0.0,1.3,0.0,0.0,0.0,1.3,0.0,0.3,0.7,1.0,1.0,0.0,0.0,0.3,0.3,0.0
Harrison Barnes,52,52,33.8,5.2,11.3,0.462,2.0,4.9,0.412,3.2,6.3,0.502,0.553,4.7,5.6,0.829,1.1,5.0,6.1,2.5,0.7,0.2,1.6,1.3,17.1
