Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,22,TOR,44,22,1047,140,332,0.422,16,54,0.296,124,278,0.446,0.446,39,70,0.557,101,214,315,51,24,27,44,88,335
Steven Adams,C,28,MEM,52,51,1354,134,253,0.53,0,0,,134,253,0.53,0.53,78,134,0.582,227,266,493,162,48,33,84,91,346
Bam Adebayo,C,24,MIA,30,30,985,205,396,0.518,0,3,0.0,205,393,0.522,0.518,139,180,0.772,80,219,299,106,47,19,89,96,549
Santi Aldama,PF,21,MEM,27,0,277,37,97,0.381,4,39,0.103,33,58,0.569,0.402,12,20,0.6,23,41,64,14,2,7,9,27,90
LaMarcus Aldridge,C,36,BRK,36,11,825,207,373,0.555,12,38,0.316,195,335,0.582,0.571,58,68,0.853,54,148,202,31,13,39,32,63,484
Nickeil Alexander-Walker,SG,23,NOP,50,19,1317,237,632,0.375,95,305,0.311,142,327,0.434,0.45,70,97,0.722,36,128,164,139,41,19,85,88,639
Grayson Allen,SG,26,MIL,46,45,1298,187,437,0.428,117,297,0.394,70,140,0.5,0.562,48,56,0.857,25,135,160,70,38,15,28,64,539
Jarrett Allen,C,23,CLE,47,47,1531,310,465,0.667,1,10,0.1,309,455,0.679,0.668,140,204,0.686,170,355,525,85,36,64,83,85,761
Jose Alvarado,PG,23,NOP,27,1,335,50,119,0.42,15,49,0.306,35,70,0.5,0.483,14,21,0.667,9,27,36,54,30,3,10,37,129
Justin Anderson,SF,28,TOT,6,0,77,6,19,0.316,3,15,0.2,3,4,0.75,0.395,6,7,0.857,2,8,10,9,2,1,3,9,21
Kyle Anderson,PF,28,MEM,43,8,955,134,311,0.431,26,76,0.342,108,235,0.46,0.473,46,70,0.657,41,185,226,112,49,26,43,64,340
Giannis Antetokounmpo,PF,27,MIL,46,46,1499,461,848,0.544,54,178,0.303,407,670,0.607,0.575,367,508,0.722,86,433,519,275,45,66,153,148,1343
Thanasis Antetokounmpo,SF,29,MIL,33,5,347,38,83,0.458,1,11,0.091,37,72,0.514,0.464,15,24,0.625,30,47,77,19,13,8,19,56,92
Carmelo Anthony,PF,37,LAL,50,3,1327,229,524,0.437,116,296,0.392,113,228,0.496,0.548,98,119,0.824,41,167,208,52,36,41,44,112,672
Cole Anthony,PG,21,ORL,42,42,1396,254,648,0.392,91,278,0.327,163,370,0.441,0.462,149,175,0.851,27,220,247,257,37,12,117,113,748
OG Anunoby,SF,24,TOR,38,38,1413,263,590,0.446,95,265,0.358,168,325,0.517,0.526,78,105,0.743,61,158,219,101,62,23,69,113,699
Trevor Ariza,SF,36,LAL,18,8,350,25,69,0.362,19,57,0.333,6,12,0.5,0.5,7,10,0.7,5,55,60,23,10,4,8,18,76
D.J. Augustin,PG,34,HOU,34,2,510,55,136,0.404,39,96,0.406,16,40,0.4,0.548,33,38,0.868,7,34,41,74,10,0,45,17,182
Deni Avdija,SF,21,WAS,53,6,1206,143,322,0.444,44,144,0.306,99,178,0.556,0.512,56,75,0.747,34,224,258,86,40,30,46,120,386
Joel Ayayi,SG,21,WAS,7,0,20,1,6,0.167,0,1,0.0,1,5,0.2,0.167,0,0,,1,2,3,4,0,0,0,0,2
Deandre Ayton,C,23,PHO,33,33,967,231,364,0.635,2,8,0.25,229,356,0.643,0.637,66,91,0.725,91,251,342,50,27,25,56,76,530
Udoka Azubuike,C,22,UTA,13,5,149,23,34,0.676,0,0,,23,34,0.676,0.676,4,9,0.444,13,39,52,0,1,10,10,17,50
Marvin Bagley III,PF,22,SAC,30,17,656,114,246,0.463,15,62,0.242,99,184,0.538,0.494,35,47,0.745,67,148,215,17,9,11,21,50,278
LaMelo Ball,PG,20,CHO,49,49,1589,348,823,0.423,126,349,0.361,222,474,0.468,0.499,148,171,0.865,80,268,348,366,77,20,154,153,970
Lonzo Ball,PG,24,CHI,35,35,1212,162,383,0.423,110,260,0.423,52,123,0.423,0.567,21,28,0.75,35,155,190,178,64,31,82,85,455
Mo Bamba,C,23,ORL,45,43,1180,179,381,0.47,57,166,0.343,122,215,0.567,0.545,38,48,0.792,95,265,360,60,29,87,57,115,453
Desmond Bane,SF,23,MEM,52,52,1564,344,750,0.459,146,358,0.408,198,392,0.505,0.556,78,87,0.897,30,201,231,128,59,24,77,127,912
Dalano Banton,SF,22,TOR,43,1,505,60,149,0.403,11,38,0.289,49,111,0.441,0.44,18,28,0.643,27,67,94,70,21,8,45,52,149
Cat Barber,PG,27,ATL,3,0,13,0,4,0.0,0,0,,0,4,0.0,0.0,0,4,0.0,1,2,3,3,0,0,1,1,0
Harrison Barnes,PF,29,SAC,52,52,1755,271,586,0.462,106,257,0.412,165,329,0.502,0.553,242,292,0.829,57,262,319,131,37,9,82,65,890
Scottie Barnes,PF,20,TOR,45,45,1620,262,552,0.475,39,120,0.325,223,432,0.516,0.51,103,139,0.741,114,231,345,153,43,37,87,128,666
RJ Barrett,SF,21,NYK,48,48,1587,306,743,0.412,96,271,0.354,210,472,0.445,0.476,155,223,0.695,41,231,272,125,26,14,94,98,863
Will Barton,SG,31,DEN,47,47,1533,279,628,0.444,110,293,0.375,169,335,0.504,0.532,63,81,0.778,32,202,234,195,41,25,88,74,731
Paris Bass,SF,26,PHO,2,0,7,2,6,0.333,0,2,0.0,2,4,0.5,0.333,2,2,1.0,2,2,4,0,1,0,2,2,6
Charles Bassey,PF,21,PHI,22,0,161,28,43,0.651,0,4,0.0,28,39,0.718,0.651,8,11,0.727,20,40,60,7,4,17,8,31,64
Keita Bates-Diop,SF,26,SAS,42,12,701,92,184,0.5,14,42,0.333,78,142,0.549,0.538,29,42,0.69,46,124,170,25,19,13,29,43,227
Nicolas Batum,PF,33,LAC,35,30,871,112,232,0.483,68,168,0.405,44,64,0.688,0.629,16,24,0.667,16,139,155,55,35,26,27,51,308
Kent Bazemore,SF,32,LAL,31,14,455,39,119,0.328,23,65,0.354,16,54,0.296,0.424,13,17,0.765,9,45,54,29,20,6,10,56,114
Darius Bazley,PF,21,OKC,49,33,1309,170,424,0.401,50,171,0.292,120,253,0.474,0.46,76,111,0.685,56,258,314,58,39,55,67,47,466
Bradley Beal,SG,28,WAS,40,40,1439,348,771,0.451,63,210,0.3,285,561,0.508,0.492,169,203,0.833,38,151,189,265,36,15,135,95,928
Malik Beasley,SG,25,MIN,55,10,1421,242,637,0.38,163,455,0.358,79,182,0.434,0.508,30,40,0.75,21,146,167,82,29,8,37,66,677
Jordan Bell,C,27,CHI,1,0,2,0,0,,0,0,,0,0,,,0,0,,1,0,1,0,1,0,0,2,0
DeAndre' Bembry,SF,27,BRK,48,20,949,121,213,0.568,15,36,0.417,106,177,0.599,0.603,21,35,0.6,38,114,152,60,47,25,30,104,278
Dāvis Bertāns,PF,29,WAS,34,0,501,60,171,0.351,46,144,0.319,14,27,0.519,0.485,28,30,0.933,6,55,61,16,11,6,14,55,194
Patrick Beverley,PG,33,MIN,36,32,931,112,276,0.406,48,144,0.333,64,132,0.485,0.493,48,68,0.706,40,121,161,180,40,32,40,104,320
Saddiq Bey,SF,22,DET,54,54,1807,288,755,0.381,134,397,0.338,154,358,0.43,0.47,129,156,0.827,72,238,310,147,49,12,70,90,839
