Name,adj_name,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27
Stephen Curry,Stephen Curry,45780966,48070014,51915615,55761217,0,0
James Harden,James Harden,44310840,47366760,0,0,0,0
John Wall,John Wall,44310840,47366760,0,0,0,0
Russell Westbrook,Russell Westbrook,44211146,47063478,0,0,0,0
LeBron James,LeBron James,41180544,44474988,0,0,0,0
Kevin Durant,Kevin Durant,40918900,44119845,47649433,51179020,0,0
Paul George,Paul George,39344970,42492568,45640165,48787763,0,0
Kawhi Leonard,Kawhi Leonard,39344900,42492492,45640084,48787676,0,0
Giannis Antetokounmpo,Giannis Antetokounmpo,39344900,42492492,45640084,48787676,0,0
Damian Lillard,Damian Lillard,39344900,42492492,45640084,48787676,0,0
Klay Thompson,Klay Thompson,37980720,40600080,43219440,0,0,0
Jimmy Butler,Jimmy Butler,36016200,37653300,45183960,48798677,0,0
Tobias Harris,Tobias Harris,35995950,37633050,39270150,0,0,0
Khris Middleton,Khris Middleton,35500000,37984276,40396552,0,0,0
Anthony Davis,Anthony Davis,35361360,37980720,40600080,43219440,0,0
Kyrie Irving,Kyrie Irving,35053700,36647050,0,0,0,0
Kemba Walker,Kemba Walker,34967442,36596549,0,0,0,0
Rudy Gobert,Rudy Gobert,34844000,37631520,40419040,43206560,0,0
Bradley Beal,Bradley Beal,33724200,36422136,0,0,0,0
Ben Simmons,Ben Simmons,33003936,35448672,37893408,40338144,0,0
Pascal Siakam,Pascal Siakam,33003936,35448672,37893408,0,0,0
Jrue Holiday,Jrue Holiday,32431333,35025840,37620347,40214853,0,0
Blake Griffin,Blake Griffin,32405817,0,0,0,0,0
Kristaps Porzingis,Kristaps Porzingis,31650600,33833400,36016200,0,0,0
Karl-Anthony Towns,Karl-Anthony Towns,31650600,33833400,36016200,0,0,0
Devin Booker,Devin Booker,31650600,33833400,36016200,0,0,0
Nikola Jokic,Nikola Jokic,31579390,33616770,0,0,0,0
Andrew Wiggins,Andrew Wiggins,31579390,33616770,0,0,0,0
Joel Embiid,Joel Embiid,31579390,33616770,43732500,47231100,0,0
Kevin Love,Kevin Love,31258256,28942830,0,0,0,0
CJ McCollum,CJ McCollum,30864198,33333333,35802469,0,0,0
Chris Paul,Chris Paul,30800000,28400000,30800000,30800000,0,0
DAngelo Russell,DAngelo Russell,30013500,31377750,0,0,0,0
Gordon Hayward,Gordon Hayward,29925000,30075000,31500000,0,0,0
Jamal Murray,Jamal Murray,29467800,31650600,33833400,36016200,0,0
Brandon Ingram,Brandon Ingram,29467800,31650600,33833400,36016200,0,0
Jayson Tatum,Jayson Tatum,28103500,30351780,32600060,34848340,0,0
Bam Adebayo,Bam Adebayo,28103500,30351780,32600060,34848340,0,0
DeAaron Fox,DeAaron Fox,28103500,30351780,32600060,34848340,0,0
Donovan Mitchell,Donovan Mitchell,28103500,30351780,32600060,34848340,0,0
Al Horford,Al Horford,27000000,26500000,0,0,0,0
Kyle Lowry,Kyle Lowry,26984128,28333334,29682540,0,0,0
Jaylen Brown,Jaylen Brown,26758928,28741071,30723214,0,0,0
DeMar DeRozan,DeMar DeRozan,26000000,27300000,28600000,0,0,0
Draymond Green,Draymond Green,24026712,25806468,27586224,0,0,0
Nikola Vucevic,Nikola Vucevic,24000000,22000000,0,0,0,0
Buddy Hield,Buddy Hield,23073234,21177750,19279841,0,0,0
John Collins,John Collins,23000000,23500000,25340000,26580000,0,0
Julius Randle,Julius Randle,21780000,26136000,28226880,30317760,0,0
Malcolm Brogdon,Malcolm Brogdon,21700000,22600000,22500000,22500000,0,0
Tim Hardaway Jr,Tim Hardaway Jr,21306816,19602273,17897728,16193183,0,0
Mike Conley,Mike Conley,21000000,22680000,24360000,0,0,0
Gary Harris,Gary Harris,20932143,0,0,0,0,0
Danilo Gallinari,Danilo Gallinari,20475000,21450000,0,0,0,0
Harrison Barnes,Harrison Barnes,20284091,18352273,0,0,0,0
Jerami Grant,Jerami Grant,20002500,20955000,0,0,0,0
Jarrett Allen,Jarrett Allen,20000000,20000000,20000000,20000000,0,0
Fred VanVleet,Fred VanVleet,19675926,21250000,22824074,0,0,0
Zach LaVine,Zach LaVine,19500000,0,0,0,0,0
Goran Dragic,Goran Dragic,19440000,0,0,0,0,0
Bojan Bogdanovic,Bojan Bogdanovic,18700000,19550000,0,0,0,0
Lonzo Ball,Lonzo Ball,18604651,19534884,20465117,21395348,0,0
Clint Capela,Clint Capela,18603448,19706896,22116000,23765280,0,0
Domantas Sabonis,Domantas Sabonis,18500000,18500000,19400000,0,0,0
Eric Gordon,Eric Gordon,18218818,19568360,20917902,0,0,0
Eric Bledsoe,Eric Bledsoe,18125000,19375000,0,0,0,0
Bogdan Bogdanovic,Bogdan Bogdanovic,18000000,18000000,18000000,0,0,0
Myles Turner,Myles Turner,18000000,18000000,0,0,0,0
Terry Rozier,Terry Rozier,17905263,21486316,23205221,24924126,0,0
Ricky Rubio,Ricky Rubio,17800000,0,0,0,0,0
Caris LeVert,Caris LeVert,17500000,18796296,0,0,0,0
Jonathan Isaac,Jonathan Isaac,17400000,17400000,17400000,17400000,0,0
Joe Harris,Joe Harris,17357143,18642857,19928571,0,0,0
Evan Fournier,Evan Fournier,17142857,18000000,18857143,19000000,0,0
Spencer Dinwiddie,Spencer Dinwiddie,17142857,18000000,18857143,0,0,0
Steven Adams,Steven Adams,17073171,17926829,0,0,0,0
Markelle Fultz,Markelle Fultz,16500000,16500000,17000000,0,0,0
Aaron Gordon,Aaron Gordon,16409091,19690909,21266182,22841455,0,0
OG Anunoby,OG Anunoby,16071429,17357143,18642857,19928571,0,0
Gary Trent Jr,Gary Trent Jr,16000000,17280000,18560000,0,0,0
Davis Bertans,Davis Bertans,16000000,16000000,17000000,16000000,0,0
Lauri Markkanen,Lauri Markkanen,15690909,16475454,17259999,18044544,0,0
Derrick White,Derrick White,15678571,16892857,18107143,19321429,0,0
Duncan Robinson,Duncan Robinson,15650000,16902000,18154000,19406000,0,0
Marcus Morris,Marcus Morris Sr,15627907,16372093,17116279,0,0,0
Will Barton,Will Barton,15625000,14375000,0,0,0,0
Norman Powell,Norman Powell,15517242,16758621,18000000,19241379,0,0
Dejounte Murray,Dejounte Murray,15428880,16571120,17714000,0,0,0
Malik Beasley,Malik Beasley,14491964,15558035,16524106,0,0,0
Marcus Smart,Marcus Smart,14339285,17207142,18583713,19960285,0,0
Patrick Beverley,Patrick Beverley,14320987,0,0,0,0,0
Thaddeus Young,Thaddeus Young,14190000,0,0,0,0,0
Jonas Valanciunas,Jonas Valanciunas,14000000,14700000,15435000,0,0,0
Doug McDermott,Doug McDermott,13750000,13750000,13750000,0,0,0
Christian Wood,Christian Wood,13666667,14317459,0,0,0,0
Derrick Rose,Derrick Rose,13445120,14520730,15596339,0,0,0
