playerid,name,twit_followers_count,2021-22,followers per dollar
2546,Carmelo Anthony,9266281,2641691,3.507708130890403
2730,Dwight Howard,6383134,2641691,2.4163060706191604
2544,LeBron James,50745912,41180544,1.232278815937934
202326,DeMarcus Cousins,1250353,1203925,1.0385638640280748
2738,Andre Iguodala,1326440,2641691,0.5021177722905518
201142,Kevin Durant,19527561,40918900,0.4772259518217743
203083,Andre Drummond,846677,2401537,0.35255630040261715
201939,Stephen Curry,15826000,45780966,0.3456895164684817
202362,Lance Stephenson,235797,690095,0.34168773864467933
200746,LaMarcus Aldridge,748991,2641691,0.28352710441910123
101108,Chris Paul,8413220,30800000,0.2731564935064935
202683,Enes Freedom,595866,2641691,0.2255623386686785
200765,Rajon Rondo,1625940,7500000,0.216792
200752,Rudy Gay,1221248,5890000,0.2073426146010187
1630199,Cassius Stanley,49521,256734,0.19288835915772745
201565,Derrick Rose,2532308,13445120,0.18834402370525513
1629033,Theo Pinson,80577,440710,0.18283451702933903
201935,James Harden,7373953,44310840,0.1664142002273033
201937,Ricky Rubio,2877519,17800000,0.16165837078651685
1629630,Ja Morant,1537673,9603360,0.16011822945302479
1630536,Sharife Cooper,74051,462629,0.16006562493920615
1629027,Trae Young,1293651,8326471,0.15536606084378363
201566,Russell Westbrook,6839765,44211146,0.15470680176442383
2617,Udonis Haslem,401122,2641691,0.15184289154181924
1629029,Luka Doncic,1428077,10174391,0.14035994881659256
201933,Blake Griffin,4477345,32405817,0.13816485478517637
203506,Victor Oladipo,320652,2389641,0.13418417243426942
202083,Wesley Matthews,248746,1958495,0.1270087490649708
202681,Kyrie Irving,4385593,35053700,0.12511070158071758
1630267,Facundo Campazzo,394311,3200000,0.1232221875
203085,Austin Rivers,288147,2401537,0.119984409984106
1630163,LaMelo Ball,986673,8231760,0.11986173066270153
201599,DeAndre Jordan,1155837,10517224,0.10989943734202105
1629139,Yuta Watanabe,188091,1762796,0.10670037826271446
1629657,Kyle Guy,45128,425198,0.10613408341525594
1628372,Dennis Smith Jr,182946,1789256,0.10224696745462919
201567,Kevin Love,3181789,31258256,0.10179035580231988
1626163,Frank Kaminsky,211534,2089448,0.1012391789601847
201586,Serge Ibaka,909519,9720900,0.09356325031632874
1630216,Cassius Winston,42447,462629,0.09175170601064785
1629117,Wenyen Gabriel,36358,397520,0.09146206480177098
1628398,Kyle Kuzma,1127123,13000000,0.08670176923076924
201587,Nicolas Batum,1016936,12026998,0.0845544332841828
1628370,Malik Monk,149697,1789256,0.08366438340852288
1629639,Tyler Herro,332786,4004280,0.0831075748948625
1627780,Gary Payton II,126750,1669178,0.0759355802676527
203081,Damian Lillard,2950145,39344900,0.07498163675597092
202355,Hassan Whiteside,178881,2401537,0.07448604789349487
201580,JaVale McGee,365149,5000000,0.0730298
1629674,Neemias Queta,33689,462629,0.07282076999064045
201988,Patty Mills,422879,5890000,0.07179609507640068
1628366,Lonzo Ball,1297437,18604651,0.06973723936020085
1629678,Admiral Schofield,49803,723741,0.06881329094247804
202684,Tristan Thompson,661486,9720900,0.06804781450277238
203110,Draymond Green,1616732,24026712,0.06728894074228717
201959,Taj Gibson,323245,4910000,0.06583401221995927
1630245,Ayo Dosunmu,60263,925258,0.06513102291468974
1628960,Grayson Allen,257488,4054695,0.06350366673695555
201980,Danny Green,634863,10000000,0.0634863
203076,Anthony Davis,2184592,35361360,0.061779071845653
202331,Paul George,2401180,39344970,0.06102889390943747
203954,Joel Embiid,1919448,31579390,0.06078166804361959
203469,Cody Zeller,142892,2389641,0.059796429672909025
101150,Lou Williams,298622,5000000,0.0597244
1629603,Mamadi Diakite,14603,256734,0.056879883459144485
203507,Giannis Antetokounmpo,2109122,39344900,0.05360598196970891
1630222,Mason Jones,15705,295125,0.05321473951715375
1629649,Ignas Brazdeikis,23665,462629,0.05115329994444793
203504,Trey Burke,161022,3150000,0.05111809523809524
1629308,Juan Toscano-Anderson,83181,1701593,0.04888419263595936
1628373,Frank Ntilikina,86312,1789256,0.04823904460848531
203648,Thanasis Antetokounmpo,82770,1729217,0.047865594659316904
1626224,Cedi Osman,367499,8133334,0.04518429957505741
1629627,Zion Williamson,474397,10733400,0.04419820373786498
1629060,Rui Hachimura,215219,4916160,0.04377786727852633
201588,George Hill,230279,5275491,0.04365072369567117
202691,Klay Thompson,1642064,37980720,0.04323414616679199
202322,John Wall,1908967,44310840,0.043081264087974865
1629623,Lindell Wigginton,10028,233973,0.04285964619849299
203463,Ben McLemore,102116,2389641,0.04273277868935125
1630528,Josh Christopher,96339,2259240,0.04264221596643119
1626169,Stanley Johnson,58171,1368998,0.0424916617847506
1626168,Trey Lyles,105545,2500000,0.042218
1628404,Josh Hart,498861,12000000,0.04157175
1627936,Alex Caruso,356924,8600000,0.041502790697674416
203552,Seth Curry,339693,8207518,0.04138802985263024
1628378,Donovan Mitchell,1143926,28103500,0.04070404042201149
1630193,Immanuel Quickley,86023,2210640,0.038913165418159444
1630568,Luka Garza,35809,925258,0.038701637813453114
203487,Michael Carter-Williams,127011,3300000,0.03848818181818182
