playerid,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
201580,5913895,1778630,679,3808,159149,1195,65531.941176470595,492.0588235294118
1626164,41186296,5005617,408,74,2858539,7547,263286.4868421052,695.1184210526316
203901,680927360,117289,1118,11,15129,590,1231.4302325581396,48.02325581395348
101108,184644748,10950639,1000,1476,935075,5217,261821.0,1460.76
1626163,42645813,184095,455,245,14858,224,1094.8,16.50526315789474
1630188,8370414361,47609,478,32,14722,340,2396.6046511627906,55.348837209302324
1627846,235440443,60536,315,31,23208,318,1450.5,19.875
1630688,32383874,29457,503,82,23330,558,4948.787878787879,118.36363636363636
1629013,304609902,112166,679,245,49524,840,3573.8969072164946,60.618556701030926
1626166,500623618,193505,746,329,76392,1259,6146.482758620689,101.29885057471265
202687,573482256,142788,489,390,24658,712,1475.2649572649573,42.598290598290596
203967,1445878973,106417,244,42,8020,69,1100.7843137254902,9.470588235294118
1629028,338219798,507540,139,112,202737,1739,16126.806818181818,138.32954545454547
1629661,2347776169,190710,793,41,37253,320,4011.861538461538,34.46153846153846
1628969,36182358,179968,2213,204,100158,1265,7704.461538461538,97.3076923076923
203109,2206418091,528379,443,170,163622,1544,11119.941747572817,104.93203883495146
1629216,34943734,39937,1256,102,42537,1085,3272.076923076923,83.46153846153847
203506,23755775,1399343,698,414,135266,1392,18208.884615384613,187.3846153846154
1629657,36664534,155565,1215,954,86838,959,6466.659574468085,71.41489361702128
200768,1331661501,1567218,356,175,132535,1750,7862.245762711864,103.8135593220339
202693,21979098,304914,661,846,7657,44,1848.2413793103447,10.620689655172413
1629644,39828635,36804,686,28,12129,161,800.9716981132076,10.632075471698114
1628389,176272488,823915,697,407,336542,2179,33180.19718309859,214.83098591549296
1629639,272817859,2364889,259,108,1789742,6817,147390.51764705882,561.4
1628997,226939222,62381,992,25,13797,407,1420.279411764706,41.89705882352941
200782,1818392454,995329,827,1062,214975,2449,45600.757575757576,519.4848484848485
203473,19547914,58711,673,439,19798,297,1194.706896551724,17.92241379310345
202710,371120493,6582127,400,713,1135323,13221,256363.25806451612,2985.387096774193
1629735,348550229,46350,897,331,13089,256,1006.8461538461538,19.692307692307693
1629622,13778404988,48724,822,42,101484,1561,5969.64705882353,91.82352941176471
2617,487672208,604079,1979,1103,76884,970,19221.0,242.5
1629130,36311809,306485,1436,39,53326,1302,3136.823529411765,76.58823529411765
