playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Guaranteed
201580,JaVale McGee,https://twitter.com/JaValeMcGee,JaValeMcGee,https://instagram.com/javalemcgee,javalemcgee,24838521,365149,12454,5000000.0,0.0,0.0,0.0,0.0,0.0,5000000.0
1626164,Devin Booker,https://twitter.com/DevinBook,DevinBook,https://instagram.com/dbook,dbook,237073728,1089895,9161,31610000.0,33790000.0,35970000.0,0.0,0.0,0.0,101370000.0
203901,Elfrid Payton,https://twitter.com/elfrid,elfrid,https://instagram.com/elfrid,elfrid,253527338,66291,10892,2239544.0,0.0,0.0,0.0,0.0,0.0,2239544.0
101108,Chris Paul,https://twitter.com/CP3,CP3,https://instagram.com/cp3,cp3,53853197,8413220,6510,30800000.0,28400000.0,30800000.0,30000000.0,0.0,0.0,75000000.0
1626163,Frank Kaminsky,https://twitter.com/FSKPart3,FSKPart3,https://instagram.com/fskpart3,fskpart3,135026973,211534,7093,2089448.0,0.0,0.0,0.0,0.0,0.0,2089448.0
1630188,Jalen Smith,https://twitter.com/thejalen_smith,thejalen_smith,https://instagram.com/thejalen_smith,thejalen_smith,2888477464,12142,5509,4458000.0,4670160.0,5954454.0,0.0,0.0,0.0,4458000.0
1627846,Abdel Nader,https://twitter.com/AbdelNader2,AbdelNader2,https://instagram.com/dulenader2,dulenader2,3228860910,18530,479,2000000.0,2160000.0,0.0,0.0,0.0,0.0,2000000.0
1630688,Ish Wainright,https://twitter.com/Wainright24,Wainright24,https://instagram.com/mailman24,mailman24,79876282,16934,26991,53176.0,0.0,0.0,0.0,0.0,0.0,375000.0
1629013,Landry Shamet,https://twitter.com/landryshamet,landryshamet,https://instagram.com/landryshamet,landryshamet,241692721,35859,7251,3768342.0,9598214.0,10366071.0,11133929.0,11901786.0,0.0,46768342.0
1626166,Cameron Payne,https://twitter.com/campayne,campayne,https://instagram.com/smoothcp1,smoothcp1,96706848,35871,14964,6500000.0,6000000.0,6500000.0,0.0,0.0,0.0,14500000.0
202687,Bismack Biyombo,https://twitter.com/bismackbiyombo,bismackbiyombo,https://instagram.com/bismackbiyombo,bismackbiyombo,273532957,55217,3054,2732784.0,0.0,0.0,0.0,0.0,0.0,3036426.0
203967,Dario Saric,https://twitter.com/dariosaric,dariosaric,https://instagram.com/megalodon20,megalodon20,797153299287998464,32588,10,9000000.0,9666667.0,0.0,0.0,0.0,0.0,18666667.0
1629028,Deandre Ayton,https://twitter.com/DeandreAyton,DeandreAyton,https://instagram.com/deandreayton,deandreayton,3834430036,127731,983,12632950.0,0.0,0.0,0.0,0.0,0.0,12632950.0
1629661,Cameron Johnson,,,https://instagram.com/camjohnson23,camjohnson23,0,0,0,4437000.0,5887899.0,0.0,0.0,0.0,0.0,10324899.0
1628969,Mikal Bridges,https://twitter.com/mikal_bridges,mikal_bridges,https://instagram.com/mikalbridges,mikalbridges,994335752312979463,44320,1477,5557725.0,20089286.0,21696429.0,23303571.0,24910714.0,0.0,95557725.0
203109,Jae Crowder,https://twitter.com/CJC9BOSS,CJC9BOSS,https://instagram.com/bossmann99,bossmann99,125408809,197431,8522,9720900.0,10183800.0,0.0,0.0,0.0,0.0,19904700.0
1629216,Gabe Vincent,https://twitter.com/iamgabevincent2,iamgabevincent2,https://instagram.com/iamgabevincent2,iamgabevincent2,747694509035753472,8415,8439,1669178.0,1815677.0,0.0,0.0,0.0,0.0,1669178.0
203506,Victor Oladipo,https://twitter.com/VicOladipo,VicOladipo,https://instagram.com/vicoladipo,vicoladipo,87874905,320652,4129,2389641.0,0.0,0.0,0.0,0.0,0.0,2389641.0
1629657,Kyle Guy,https://twitter.com/kylejguy,kylejguy,https://instagram.com/kylejguy,kylejguy,316855068,45128,20844,106352.0,0.0,0.0,0.0,0.0,0.0,383720.0
