Player,G,MP,FG%,Dist.,% of FGA by Distance_2P,% of FGA by Distance_0-3,% of FGA by Distance_3-10,% of FGA by Distance_10-16,% of FGA by Distance_16-3P,% of FGA by Distance_3P,FG% by Distance_2P,FG% by Distance_0-3,FG% by Distance_3-10,FG% by Distance_10-16,FG% by Distance_16-3P,FG% by Distance_3P,% of FG Ast'd_2P,% of FG Ast'd_3P,Dunks_%FGA,Dunks_#,Corner 3s_%3PA,Corner 3s_3P%,Heaves_Att.,Heaves_#
Precious Achiuwa,44,1047,0.422,8.1,0.837,0.404,0.313,0.087,0.033,0.163,0.446,0.582,0.327,0.31,0.273,0.296,0.605,1.0,0.184,47,0.352,0.263,0,0
Steven Adams,52,1354,0.53,2.7,1.0,0.692,0.277,0.032,0.0,0.0,0.53,0.611,0.357,0.25,,,0.463,,0.134,29,,,0,0
Bam Adebayo,30,985,0.518,7.1,0.992,0.402,0.28,0.215,0.096,0.008,0.522,0.774,0.333,0.353,0.395,0.0,0.61,,0.172,63,0.0,,1,0
Santi Aldama,27,277,0.381,12.6,0.598,0.33,0.186,0.072,0.01,0.402,0.569,0.75,0.333,0.429,0.0,0.103,0.667,1.0,0.093,9,0.231,0.333,0,0
LaMarcus Aldridge,36,825,0.555,12.4,0.898,0.204,0.172,0.236,0.287,0.102,0.582,0.724,0.516,0.545,0.551,0.316,0.764,1.0,0.035,13,0.316,0.333,0,0
Nickeil Alexander-Walker,50,1317,0.375,15.6,0.517,0.217,0.166,0.074,0.06,0.483,0.434,0.584,0.333,0.362,0.263,0.311,0.408,0.895,0.014,8,0.23,0.371,2,0
Grayson Allen,46,1298,0.428,19.3,0.32,0.153,0.092,0.057,0.018,0.68,0.5,0.612,0.425,0.36,0.375,0.394,0.657,0.906,0.023,7,0.259,0.442,0,0
Jarrett Allen,47,1531,0.667,3.9,0.978,0.626,0.295,0.041,0.017,0.022,0.679,0.801,0.46,0.474,0.5,0.1,0.718,0.0,0.346,140,0.6,0.0,0,0
Jose Alvarado,27,335,0.42,14.0,0.588,0.269,0.185,0.101,0.034,0.412,0.5,0.656,0.364,0.333,0.5,0.306,0.343,1.0,0.0,0,0.204,0.4,0,0
Justin Anderson,6,77,0.316,21.5,0.211,0.158,0.0,0.0,0.053,0.789,0.75,0.667,,,1.0,0.2,1.0,0.667,0.0,0,0.267,0.0,0,0
Justin Anderson,3,47,0.5,22.0,0.25,0.125,0.0,0.0,0.125,0.75,1.0,1.0,,,1.0,0.333,1.0,1.0,0.0,0,0.333,0.0,0,0
Justin Anderson,3,30,0.182,21.1,0.182,0.182,0.0,0.0,0.0,0.818,0.5,0.5,,,,0.111,1.0,0.0,0.0,0,0.222,0.0,0,0
Kyle Anderson,43,955,0.431,11.0,0.756,0.293,0.254,0.154,0.055,0.244,0.46,0.615,0.392,0.354,0.235,0.342,0.472,0.962,0.032,9,0.434,0.455,0,0
Giannis Antetokounmpo,46,1499,0.544,10.5,0.79,0.384,0.196,0.13,0.08,0.21,0.607,0.825,0.41,0.391,0.397,0.303,0.418,0.37,0.142,113,0.022,0.25,1,0
Thanasis Antetokounmpo,33,347,0.458,5.8,0.867,0.614,0.205,0.048,0.0,0.133,0.514,0.608,0.294,0.25,,0.091,0.676,1.0,0.241,16,0.545,0.167,0,0
Carmelo Anthony,50,1327,0.437,19.4,0.435,0.097,0.059,0.139,0.139,0.565,0.496,0.627,0.387,0.438,0.507,0.392,0.504,0.914,0.019,7,0.159,0.447,0,0
Cole Anthony,42,1396,0.392,16.1,0.571,0.156,0.213,0.093,0.11,0.429,0.441,0.564,0.399,0.483,0.31,0.327,0.227,0.604,0.028,11,0.086,0.333,2,0
