,playerid,name,twit_url,twit_handle,insta_url,insta_handle,twit_id,twit_followers_count,twit_tweet_count,tweet_retweet_count,tweet_reply_count,tweet_like_count,tweet_quote_count,pos,age,tm,g,gs,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,efgpct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,dist,pct_of_fga_by_distance_2p,pct_of_fga_by_distance_0to3,pct_of_fga_by_distance_3to10,pct_of_fga_by_distance_10to16,pct_of_fga_by_distance_16to3p,pct_of_fga_by_distance_3p,fgpct_by_distance_2p,fgpct_by_distance_0to3,fgpct_by_distance_3to10,fgpct_by_distance_10to16,fgpct_by_distance_16to3p,fgpct_by_distance_3p,pct_of_fg_astd_2p,pct_of_fg_astd_3p,dunks_pctfga,dunks_num,corner_3s_pct3pa,corner_3s_3ppct,heaves_att,heaves_num,salary_2021_22,br_name,br_url,twit_likes_per_post,inst_id,inst_followers,inst_follows,inst_posts,inst_likes_12,inst_comments_12,inst_likes_per_week,inst_comments_per_week
0,201580,JaVale McGee,https://twitter.com/JaValeMcGee,JaValeMcGee,https://instagram.com/javalemcgee,javalemcgee,24838521,365535,12457,26074,1946,72982,628,C,34.0,PHO,48.0,14.0,782.0,204.0,310.0,0.658,2.0,5.0,0.4,202.0,305.0,0.662,0.661,70.0,103.0,0.68,117.0,223.0,340.0,32.0,14.0,48.0,69.0,119.0,480.0,4.1,0.984,0.565,0.342,0.055,0.023,0.016,0.662,0.714,0.642,0.353,0.429,0.4,0.713,1.0,0.229,69.0,0.0,0.0,0.0,0.0,5000000,JaVale McGee,https://www.basketball-reference.com/players/m/mcgeeja01.html,5.858713976077707,5913895,1778630,679,3808,159149,1195,65531.9411764706,492.0588235294118
1,1626164,Devin Booker,https://twitter.com/DevinBook,DevinBook,https://instagram.com/dbook,dbook,237073728,1095730,9162,72373,7154,549344,8450,SG,25.0,PHO,47.0,47.0,1598.0,439.0,976.0,0.45,125.0,335.0,0.373,314.0,641.0,0.49,0.514,204.0,238.0,0.857,37.0,213.0,250.0,203.0,46.0,15.0,112.0,118.0,1207.0,16.2,0.657,0.109,0.148,0.22,0.18,0.343,0.49,0.66,0.431,0.46,0.472,0.373,0.398,0.664,0.013,11.0,0.134,0.378,0.0,0.0,31650600,Devin Booker,https://www.basketball-reference.com/players/b/bookede01.html,59.9589609255621,41186296,5005617,408,74,2858539,7547,263286.4868421052,695.1184210526316
2,203901,Elfrid Payton,https://twitter.com/elfrid,elfrid,https://instagram.com/elfrid,elfrid,253527338,66416,10894,4195,34,835,9,PG,27.0,PHO,34.0,0.0,397.0,48.0,124.0,0.387,2.0,12.0,0.167,46.0,112.0,0.411,0.395,10.0,22.0,0.455,17.0,50.0,67.0,69.0,18.0,4.0,35.0,31.0,108.0,7.3,0.903,0.306,0.5,0.065,0.032,0.097,0.411,0.526,0.371,0.25,0.25,0.167,0.261,0.5,0.04,4.0,0.333,0.0,0.0,0.0,2239544,Elfrid Payton,https://www.basketball-reference.com/players/p/paytoel01.html,0.0766476959794382,680927360,117289,1118,11,15129,590,1231.4302325581396,48.02325581395348
3,101108,Chris Paul,https://twitter.com/CP3,CP3,https://instagram.com/cp3,cp3,53853197,8418898,6514,14737,1672,164154,1010,PG,36.0,PHO,54.0,54.0,1798.0,306.0,626.0,0.489,57.0,168.0,0.339,249.0,458.0,0.544,0.534,142.0,171.0,0.83,16.0,226.0,242.0,565.0,101.0,18.0,128.0,114.0,811.0,16.4,0.732,0.035,0.165,0.334,0.198,0.268,0.544,0.727,0.515,0.569,0.492,0.339,0.116,0.421,0.0,0.0,0.083,0.286,3.0,0.0,30800000,Chris Paul,https://www.basketball-reference.com/players/p/paulch01.html,25.20018421860608,184644748,10950639,1000,1476,935075,5217,261821.0,1460.76
4,1626163,Frank Kaminsky,https://twitter.com/FSKPart3,FSKPart3,https://instagram.com/fskpart3,fskpart3,135026973,211419,7091,2808,12,1591,3,C,28.0,PHO,9.0,0.0,181.0,36.0,66.0,0.545,5.0,15.0,0.333,31.0,51.0,0.608,0.583,18.0,20.0,0.9,11.0,30.0,41.0,13.0,8.0,7.0,5.0,14.0,95.0,9.2,0.773,0.303,0.394,0.061,0.015,0.227,0.608,0.65,0.577,0.75,0.0,0.333,0.71,1.0,0.076,4.0,0.067,0.0,0.0,0.0,2089448,Frank Kaminsky,https://www.basketball-reference.com/players/k/kaminfr01.html,0.2243689183472006,42645813,184095,455,245,14858,224,1094.8,16.50526315789474
5,1630188,Jalen Smith,https://twitter.com/thejalen_smith,thejalen_smith,https://instagram.com/thejalen_smith,thejalen_smith,2888477464,12582,5512,1182320,11,666,1,PF,21.0,PHO,29.0,4.0,382.0,63.0,137.0,0.46,9.0,39.0,0.231,54.0,98.0,0.551,0.493,40.0,52.0,0.769,55.0,84.0,139.0,6.0,6.0,18.0,22.0,52.0,175.0,11.4,0.715,0.248,0.328,0.073,0.066,0.285,0.551,0.706,0.556,0.2,0.333,0.231,0.685,1.0,0.08,10.0,0.179,0.143,0.0,0.0,4458000,Jalen Smith,https://www.basketball-reference.com/players/s/smithja04.html,0.1208272859216255,8370414361,47609,478,32,14722,340,2396.6046511627906,55.34883720930232
6,1627846,Abdel Nader,https://twitter.com/AbdelNader2,AbdelNader2,https://instagram.com/dulenader2,dulenader2,3228860910,18536,480,16,1,7,0,SF,28.0,PHO,14.0,0.0,145.0,12.0,35.0,0.343,4.0,14.0,0.286,8.0,21.0,0.381,0.4,6.0,10.0,0.6,4.0,23.0,27.0,7.0,8.0,4.0,11.0,20.0,34.0,12.9,0.6,0.314,0.286,0.0,0.0,0.4,0.381,0.727,0.0,0.0,0.0,0.286,0.5,1.0,0.029,1.0,0.357,0.2,1.0,0.0,2000000,Abdel Nader,https://www.basketball-reference.com/players/n/naderab01.html,0.0145833333333333,235440443,60536,315,31,23208,318,1450.5,19.875
7,1630688,Ish Wainright,https://twitter.com/Wainright24,Wainright24,https://instagram.com/mailman24,mailman24,79876282,16995,26998,31989,1179,44297,301,PF,27.0,PHO,27.0,0.0,201.0,21.0,58.0,0.362,9.0,31.0,0.29,12.0,27.0,0.444,0.44,2.0,5.0,0.4,19.0,16.0,35.0,9.0,8.0,4.0,10.0,32.0,53.0,15.6,0.466,0.207,0.207,0.017,0.034,0.534,0.444,0.667,0.333,0.0,0.0,0.29,0.667,1.0,0.052,2.0,0.387,0.5,0.0,0.0,707311,Ish Wainright,https://www.basketball-reference.com/players/w/wainris01.html,1.6407511667530927,32383874,29457,503,82,23330,558,4948.787878787879,118.36363636363636
8,1629013,Landry Shamet,https://twitter.com/landryshamet,landryshamet,https://instagram.com/landryshamet,landryshamet,241692721,35800,7251,838,275,14180,292,SG,24.0,PHO,45.0,7.0,891.0,107.0,289.0,0.37,71.0,201.0,0.353,36.0,88.0,0.409,0.493,46.0,54.0,0.852,11.0,75.0,86.0,71.0,21.0,4.0,24.0,52.0,331.0,20.1,0.304,0.08,0.111,0.066,0.048,0.696,0.409,0.522,0.375,0.421,0.286,0.353,0.611,0.944,0.024,6.0,0.323,0.369,1.0,0.0,3768342,Landry Shamet,https://www.basketball-reference.com/players/s/shamela01.html,1.955592332092125,304609902,112166,679,245,49524,840,3573.8969072164946,60.618556701030926
9,1626166,Cameron Payne,https://twitter.com/campayne,campayne,https://instagram.com/smoothcp1,smoothcp1,96706848,36256,14953,9889,789,38039,277,PG,27.0,PHO,40.0,0.0,815.0,158.0,391.0,0.404,45.0,134.0,0.336,113.0,257.0,0.44,0.462,57.0,66.0,0.864,16.0,94.0,110.0,144.0,23.0,12.0,71.0,75.0,418.0,13.3,0.657,0.217,0.294,0.107,0.038,0.343,0.44,0.494,0.365,0.5,0.533,0.336,0.168,0.711,0.003,1.0,0.075,0.3,1.0,0.0,6500000,Cameron Payne,https://www.basketball-reference.com/players/p/payneca01.html,2.543904233264228,500623618,193505,746,329,76392,1259,6146.482758620689,101.29885057471265
