LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
00,22021,1610612756,Phoenix,Suns,West,25-7 ,1,,Pacific,5-4  ,1,39,9,0.813,0,39-9,20-5 ,19-4 ,9-1  ,7-3  ,9-1  ,1-0  ,1-2  ,23-6 ,15,W 15,8,W 8,18,2,3,W 3,8,W 8,9,W 9,0.0,0.0,0,0,0,0,0,32-3 ,7-6  ,0-0  ,30-0 ,9-8  ,0-1  ,37-6 ,22-9 ,21-6 ,36-1 ,24-1 ,20-6 ,112.8,104.9,8.0,14-2,4-1,6-0,4-1,25-7,9-2,5-4,11-1,12-1,,,,,,,,,2-3,16-0,9-5,39-9,
00,22021,1610612748,Miami,Heat,East,20-10,1,,Southeast,8-2  ,1,32,18,0.64,0,32-18,18-6 ,14-12,7-3  ,8-2  ,6-4  ,0-3  ,3-5  ,18-10,7,W 7,3,W 3,5,3,-1,L 1,-1,L 1,-1,L 1,0.0,0.0,0,0,0,0,0,25-6 ,6-12 ,1-0  ,28-2 ,4-15 ,0-1  ,31-10,16-17,17-11,29-3 ,25-6 ,16-8 ,109.1,104.5,4.5,20-10,4-3,8-5,8-2,12-8,5-3,3-4,4-1,9-5,,,,,,,,,5-1,8-7,10-5,32-18,
00,22021,1610612741,Chicago,Bulls,East,20-11,2,,Central,6-3  ,1,30,18,0.625,0,30-18,17-6 ,13-12,3-7  ,8-2  ,4-6  ,0-0  ,4-3  ,15-9 ,9,W 9,-5,L 5,9,4,2,W 2,-1,L 1,-1,L 1,1.0,0.0,0,0,0,0,0,23-4 ,7-14 ,0-0  ,24-3 ,6-15 ,0-0  ,28-9 ,21-17,17-12,23-3 ,16-4 ,16-8 ,110.6,109.0,1.6,20-11,7-5,6-3,7-3,10-7,4-1,3-2,3-4,7-8,,,,,,,,,5-1,9-7,9-2,30-18,
00,22021,1610612744,Golden State,Warriors,West,20-8 ,2,,Pacific,7-1  ,2,37,13,0.74,0,37-13,24-4 ,13-9 ,7-3  ,8-2  ,4-6  ,0-2  ,5-2  ,22-4 ,11,W 11,4,W 4,7,2,5,W 5,-1,L 1,5,W 5,3.0,3.0,0,0,0,0,0,24-3 ,13-9 ,0-1  ,30-4 ,5-8  ,2-1  ,35-6 ,18-11,22-8 ,32-5 ,26-4 ,19-3 ,110.2,102.0,8.2,17-5,6-2,7-2,4-1,20-8,8-2,7-1,5-5,10-6,,,,,,,,,5-1,13-2,9-4,37-13,
00,22021,1610612755,Philadelphia,76ers,East,17-12,3,,Atlantic,4-6  ,1,30,19,0.612,0,30-19,13-10,17-9 ,7-3  ,7-3  ,8-2  ,1-1  ,3-4  ,16-7 ,4,W 4,7,W 7,7,5,3,W 3,1,W 1,4,W 4,1.5,0.0,0,0,0,0,0,20-4 ,9-14 ,1-1  ,23-3 ,6-16 ,1-0  ,29-8 ,16-17,16-13,24-3 ,14-1 ,17-12,107.6,105.2,2.3,17-12,4-6,4-2,9-4,13-7,3-4,4-2,6-1,11-3,,,,,,,,,4-2,7-8,8-6,30-19,
00,22021,1610612763,Memphis,Grizzlies,West,26-11,3,,Southwest,5-4  ,1,35,17,0.673,0,35-17,19-9 ,16-8 ,7-3  ,8-2  ,8-2  ,2-0  ,4-2  ,18-12,5,W 5,6,W 6,11,3,3,W 3,1,W 1,3,W 3,6.0,0.0,0,0,0,0,0,29-7 ,6-10 ,0-0  ,28-3 ,7-14 ,0-0  ,33-9 ,25-17,18-8 ,29-0 ,32-9 ,20-10,112.0,108.2,3.8,9-6,3-1,4-1,2-4,26-11,9-4,12-3,5-4,12-3,,,,,,,,,3-3,8-7,12-4,35-17,
00,22021,1610612739,Cleveland,Cavaliers,East,17-10,4,,Central,5-2  ,2,30,19,0.612,0,30-19,15-9 ,15-10,8-2  ,8-2  ,5-5  ,0-0  ,6-3  ,18-9 ,5,W 5,4,W 4,6,5,4,W 4,-1,L 1,3,W 3,1.5,0.5,0,0,0,0,0,24-8 ,5-10 ,1-1  ,25-3 ,5-16 ,0-0  ,24-12,13-16,15-13,28-4 ,21-7 ,14-6 ,107.1,102.2,4.9,17-10,6-4,5-2,6-4,13-9,7-1,3-5,3-3,10-3,,,,,,,,,3-4,8-6,9-6,30-19,
00,22021,1610612762,Utah,Jazz,West,19-10,4,,Northwest,10-0 ,1,30,20,0.6,0,30-20,15-10,15-10,2-8  ,5-5  ,3-7  ,0-0  ,1-5  ,22-6 ,4,W 4,10,W 10,8,4,-1,L 1,-4,L 4,-4,L 4,10.0,0.0,0,0,0,0,0,24-7 ,6-13 ,0-0  ,28-6 ,1-14 ,1-0  ,30-14,22-18,16-12,26-6 ,25-9 ,7-5  ,113.7,107.4,6.2,11-10,4-1,3-5,4-4,19-10,10-0,4-5,5-5,4-11,,,,,,,,,5-1,9-6,12-2,30-20,
00,22021,1610612742,Dallas,Mavericks,West,22-12,5,,Southwest,10-2 ,2,29,21,0.58,0,29-21,16-9 ,13-12,7-3  ,8-2  ,6-4  ,1-1  ,3-3  ,19-9 ,6,W 6,3,W 3,6,3,2,W 2,1,W 1,2,W 2,11.0,5.0,0,0,0,0,0,21-8 ,8-13 ,0-0  ,26-6 ,2-13 ,1-2  ,27-8 ,13-18,13-16,23-0 ,21-3 ,15-11,106.1,103.3,2.8,7-9,3-2,2-4,2-3,22-12,8-3,4-7,10-2,12-3,,,,,,,,,4-2,6-7,7-9,29-21,
00,22021,1610612749,Milwaukee,Bucks,East,20-16,5,,Central,7-3  ,3,31,20,0.608,0,31-20,18-8 ,13-12,5-5  ,7-3  ,4-6  ,0-2  ,1-0  ,20-7 ,9,W 9,4,W 4,8,3,4,W 4,-4,L 4,1,W 1,1.5,0.5,0,0,0,0,0,27-10,4-10 ,0-0  ,26-1 ,4-18 ,1-1  ,29-10,22-19,15-12,28-2 ,24-5 ,14-9 ,112.0,108.3,3.7,20-16,7-6,7-3,6-7,11-4,2-2,3-0,6-2,7-7,,,,,,,,,3-4,10-4,11-5,31-20,
