playerid,twit_id,twit_data
201580,24838521,<generator object Paginator.flatten at 0x7ff3b66cd6d0>
1626164,237073728,<generator object Paginator.flatten at 0x7ff3b66cd740>
203901,253527338,<generator object Paginator.flatten at 0x7ff3b66cd3c0>
101108,53853197,<generator object Paginator.flatten at 0x7ff3b66cd580>
1626163,135026973,<generator object Paginator.flatten at 0x7ff3b66cd7b0>
1630188,2888477464,<generator object Paginator.flatten at 0x7ff3b66cd820>
1627846,3228860910,<generator object Paginator.flatten at 0x7ff3b66cd890>
1630688,79876282,<generator object Paginator.flatten at 0x7ff3b66cd900>
1629013,241692721,<generator object Paginator.flatten at 0x7ff3b66cd970>
1626166,96706848,<generator object Paginator.flatten at 0x7ff3b66cd9e0>
202687,273532957,<generator object Paginator.flatten at 0x7ff3b66cda50>
203967,797153299287998464,<generator object Paginator.flatten at 0x7ff3b66cdac0>
1629028,3834430036,<generator object Paginator.flatten at 0x7ff3b66cdb30>
1629661,0,
1628969,994335752312979463,<generator object Paginator.flatten at 0x7ff3b66cdba0>
203109,125408809,<generator object Paginator.flatten at 0x7ff3b66cdc10>
1629216,747694509035753472,<generator object Paginator.flatten at 0x7ff3b66cdc80>
203506,87874905,<generator object Paginator.flatten at 0x7ff3b66cdcf0>
1629657,316855068,<generator object Paginator.flatten at 0x7ff3b66cdd60>
200768,28066436,<generator object Paginator.flatten at 0x7ff3b66cddd0>
202693,167821244,<generator object Paginator.flatten at 0x7ff3b66cde40>
1629644,3051672376,<generator object Paginator.flatten at 0x7ff3b66cdeb0>
1628389,555653709,<generator object Paginator.flatten at 0x7ff3b66cdf20>
1629639,2352361094,<generator object Paginator.flatten at 0x7ff3b66cdf90>
1628997,538636537,<generator object Paginator.flatten at 0x7ff3b66da040>
200782,0,
203473,249001367,<generator object Paginator.flatten at 0x7ff3b66da0b0>
202710,255199842,<generator object Paginator.flatten at 0x7ff3b66da120>
1629735,862216146,<generator object Paginator.flatten at 0x7ff3b66da190>
1629622,0,
2617,388014562,<generator object Paginator.flatten at 0x7ff3b66da200>
1629130,277095600,<generator object Paginator.flatten at 0x7ff3b66da270>
1630209,889322832,<generator object Paginator.flatten at 0x7ff3b66da2e0>
1630792,292073449,<generator object Paginator.flatten at 0x7ff3b66da350>
1629632,3051555746,<generator object Paginator.flatten at 0x7ff3b66da3c0>
1628366,909102066,<generator object Paginator.flatten at 0x7ff3b66da430>
1627884,2952137993,<generator object Paginator.flatten at 0x7ff3b66da4a0>
1627936,255792011,<generator object Paginator.flatten at 0x7ff3b66da510>
1628972,614127319,<generator object Paginator.flatten at 0x7ff3b66da580>
203897,405205681,<generator object Paginator.flatten at 0x7ff3b66da5f0>
202696,2423100775,<generator object Paginator.flatten at 0x7ff3b66da660>
201942,43658360,<generator object Paginator.flatten at 0x7ff3b66da6d0>
1630245,390361409,<generator object Paginator.flatten at 0x7ff3b66da740>
1628396,1563943224,<generator object Paginator.flatten at 0x7ff3b66da7b0>
1630250,322287802,<generator object Paginator.flatten at 0x7ff3b66da820>
1629744,224323175,<generator object Paginator.flatten at 0x7ff3b66da890>
1629750,2239445641,<generator object Paginator.flatten at 0x7ff3b66da900>
1629076,892394255699857409,<generator object Paginator.flatten at 0x7ff3b66da970>
1628035,234661277,<generator object Paginator.flatten at 0x7ff3b66da9e0>
1630172,1327014184953921537,<generator object Paginator.flatten at 0x7ff3b66daa50>
1627780,242982376,<generator object Paginator.flatten at 0x7ff3b66daac0>
1630228,869261925615640577,<generator object Paginator.flatten at 0x7ff3b66dab30>
1627814,99208535,<generator object Paginator.flatten at 0x7ff3b66daba0>
1629185,318181107,<generator object Paginator.flatten at 0x7ff3b66dac10>
1629673,0,
1630541,800935000896053248,<generator object Paginator.flatten at 0x7ff3b66dac80>
1626172,40805394,<generator object Paginator.flatten at 0x7ff3b66dacf0>
202357,3695411717,<generator object Paginator.flatten at 0x7ff3b66dad60>
2738,331283041,<generator object Paginator.flatten at 0x7ff3b66dadd0>
202691,1703636814,<generator object Paginator.flatten at 0x7ff3b66dae40>
1629683,222840403,<generator object Paginator.flatten at 0x7ff3b66daeb0>
203952,231209225,<generator object Paginator.flatten at 0x7ff3b66daf20>
203110,116485600,<generator object Paginator.flatten at 0x7ff3b66daf90>
201939,42562446,<generator object Paginator.flatten at 0x7ff3b66e3040>
203490,628179167,<generator object Paginator.flatten at 0x7ff3b66e30b0>
1630164,720405636182216704,<generator object Paginator.flatten at 0x7ff3b66e3120>
1629308,922918128543289349,<generator object Paginator.flatten at 0x7ff3b66e3190>
1630178,2453367787,<generator object Paginator.flatten at 0x7ff3b66e3200>
203083,244800486,<generator object Paginator.flatten at 0x7ff3b66e3270>
1629619,1377112092512198656,<generator object Paginator.flatten at 0x7ff3b66e32e0>
1630198,401513961,<generator object Paginator.flatten at 0x7ff3b66e3350>
1630531,0,
202699,25015718,<generator object Paginator.flatten at 0x7ff3b66e33c0>
201980,269552973,<generator object Paginator.flatten at 0x7ff3b66e3430>
1629718,3241195881,<generator object Paginator.flatten at 0x7ff3b66e34a0>
1629003,295906573,<generator object Paginator.flatten at 0x7ff3b66e3510>
1627777,234608321,<generator object Paginator.flatten at 0x7ff3b66e3580>
203954,416814339,<generator object Paginator.flatten at 0x7ff3b66e35f0>
1629680,2330719896,<generator object Paginator.flatten at 0x7ff3b66e3660>
1629646,920789423951884289,<generator object Paginator.flatten at 0x7ff3b66e36d0>
1627732,1063034450,<generator object Paginator.flatten at 0x7ff3b66e3740>
1627788,851651556,<generator object Paginator.flatten at 0x7ff3b66e37b0>
203552,39676694,<generator object Paginator.flatten at 0x7ff3b66e3820>
1630194,480386538,<generator object Paginator.flatten at 0x7ff3b66e3890>
1629001,1164534054,<generator object Paginator.flatten at 0x7ff3b66e3900>
203937,86651903,<generator object Paginator.flatten at 0x7ff3b66e3970>
1630214,1562059801,<generator object Paginator.flatten at 0x7ff3b66e39e0>
1630179,2922422651,<generator object Paginator.flatten at 0x7ff3b66e3a50>
203500,1253284927,<generator object Paginator.flatten at 0x7ff3b66e3ac0>
1630582,793894676,<generator object Paginator.flatten at 0x7ff3b66e3b30>
1630583,2210523525,<generator object Paginator.flatten at 0x7ff3b66e3ba0>
1630533,716418252277059585,<generator object Paginator.flatten at 0x7ff3b66e3c10>
1629630,3165563219,<generator object Paginator.flatten at 0x7ff3b66e3c80>
1628991,753792894486675457,<generator object Paginator.flatten at 0x7ff3b66e3cf0>
1629634,381841868,<generator object Paginator.flatten at 0x7ff3b66e3d60>
1626145,393722870,<generator object Paginator.flatten at 0x7ff3b66e3dd0>
1630217,2214875666,<generator object Paginator.flatten at 0x7ff3b66e3e40>
1629633,1317724028,<generator object Paginator.flatten at 0x7ff3b66e3eb0>
1628415,367771939,<generator object Paginator.flatten at 0x7ff3b66e3f20>
1629681,1315958215,<generator object Paginator.flatten at 0x7ff3b66e3f90>
