tweet_retweet_count,tweet_reply_count,tweet_like_count,tweet_quote_count
528224,187920,6100174,86974
120880,5539,1191501,6694
1603,265,5322,88
26045,136,1132,23
17371,68673,149900,6982
14737,1672,164154,1010
6517,724,50943,505
1561,241,30630,143
8184,1284,89953,350
11120,526,31571,427
4855,864,45357,383
243776,44494,2116114,49925
3443,958,69406,500
6610,289,24740,68
878,440,15049,61
1916,1653,14682,490
251907,1912,199901,686
2062,518,31789,216
1873,90,4941,26
24568,1112,83663,914
26074,1946,72982,628
1169,483,11624,320
6036,1664,78545,687
621,12,178,1
2814,732,46197,372
46790,159,6402,55
1339,177,17807,73
112054,86556,1175866,13836
9563,1487,107184,689
118287,17944,937269,14247
5009,494,18272,134
1161,187,6718,49
288,0,0,0
15447,97,7186,7
25284,5288,248487,15930
34244,206,27742,79
1897,436,23562,505
281,13,1386,4
4769,678,37517,542
336,298,11125,59
2305,497,41344,210
1339,365,25365,180
3575,554,18481,279
269,104,1723,33
606,618,7552,113
2244,66,2232,21
1374,431,21696,295
41974,9477,253433,7707
311932,58780,1011479,37736
432,134,4751,41
28,0,0,0
20039,66467,188765,5018
8815,10447,62769,7394
6865,8224,54456,5176
46023,4894,254713,2858
46599,2305,84971,1314
130,90,2163,23
292,303,2372,67
1409,26,4958,7
101563,2857,211431,1639
67427,10356,420125,6329
8644,1036,69782,924
5821,1351,40155,404
33773,419,23852,65
1546,1641,11423,193
3747,449,5519,45
17981,3956,232259,2203
1120,21,1305,7
4785,849,56458,215
51994,11297,665374,7170
164,121,2487,19
1738,279,7789,89
42504,3514,137866,2972
107,5,70,0
215,170,827,24
75,0,1,0
2849,161,11514,46
24888,5547,301736,3602
964,142,12730,63
403,67,2089,42
65,0,0,0
41,30,590,2
80,0,0,0
36963,4109,11367,440
24319,1959,99498,1204
821,584,21867,102
26126,7552,117450,1252
4969,903,43849,700
141225,18409,2149089,22375
14813,534,112523,342
23515,1107,104050,326
98420,4629,468005,2871
4195,34,835,9
11418,493,40724,148
1464,297,1963,28
113443,716,32110,219
1971,139,5064,42
1065,126,2344,21
5918,3,88,1
896,17,508,3
0,0,6,1
2129,2643,43497,207
35581,262,9810,92
388,572,6533,133
1017,1273,12351,236
150518,15736,1069399,43873
1969,270,20575,114
11446,2799,169078,1423
94323,2051,131280,1024
5374,1113,42041,655
9120,4452,222290,1640
19100,268,27431,71
9757,2556,132905,1271
0,11,21,0
21697,2129,248947,1446
85824,6389,259922,3080
5396,487,41668,264
2808,12,1591,3
72373,7154,549344,8450
9889,789,38039,277
63080,2821,83317,1820
394,6,41,1
2790,0,0,0
76177,4046,466456,3687
3935,54,562,31
10131,1153,57194,532
131046,838,115698,504
2401,874,31933,414
45125,1261,100752,537
17277,439,34179,111
31346,995,27690,179
12661,889,159995,450
28196,48,2034,22
1986,192,9394,31
14567,895,45088,244
135,57,1741,24
71344,21,520,3
22284,1013,76674,249
4055,2,21,0
45123,2617,255108,3802
38205,1824,165005,1047
112530,4212,256291,2598
2170,114,7205,38
11888,1356,108203,431
3300,365,25872,250
7971,1545,98437,519
4146,738,63060,265
18254,929,114206,388
213,17,809,7
986,30,2023,7
17293,0,0,0
44249,2526,235155,1191
16,1,7,0
528,376,4853,232
2135,0,0,0
194031,5028,600737,2725
4116,62,2829,20
15651,87,4031,22
24744,1059,122713,988
4199,976,28494,510
58537,5490,612005,3714
79432,3166,137456,1848
48753,1360,35265,822
4577,605,22361,460
857,760,6232,104
826,29,1819,3
71683,12356,970244,5384
12512,566,23886,171
14859,147,5007,30
53,43,559,11
54587,2597,75142,848
63393,480,44321,158
2395,0,33,0
111262,22989,1399583,23556
3303,16,91,2
2655,0,0,0
26182,14122,287316,2902
232,130,5283,13
9800,63,3193,10
15610,594,37568,152
2,0,0,0
29,17,670,0
252627,145,4135,24
59,67,1100,39
2340,630,29177,294
7736,15,158,0
331,922,2768,73
0,8,24,1
66,22,453,12
8527,2610,119996,1018
234579,3162,246211,4904
35978,822,86318,206
7638,1147,44998,299
23632,31,597,7
648,79,3393,15
6108,83,2928,11
21767,368,11561,295
64116,134,6018,39
561,0,0,0
22358,301,21094,69
1452,297,20911,136
38705,1962,227058,923
94071,474,20257,201
54,1,15,0
40364,21,1054,3
26985,298,16936,189
17828,84,9575,45
312,8,50,0
503,77,3822,15
4698,2570,67667,832
12564,710,41034,464
838,275,14180,292
69797,445,39068,116
4854,21,1014,1
13511,812,49402,184
56194,254,12515,83
191821,1591,95546,902
215702,19789,1681502,11085
3870,211,12132,81
10302,813,92486,499
4608,1625,50355,585
360,0,5,0
733593,117,3890,13
5584,59,2488,12
125999,780,68794,354
1663,40,2346,14
437,0,0,0
4309,118,18433,48
5814,0,0,0
38847,2,113,0
1171,629,22496,159
27425,49,1679,6
559,287,1687,76
1489,492,12790,464
5058,1117,96428,487
18317,71,3072,8
25759,1676,68324,364
291086,303,14102,181
4931,547,12733,332
1452,29,2583,125
18865,1733,157802,1167
365,111,3590,36
123,47,1776,6
592,2,160,0
5903,571,24551,224
59355,314,26359,160
22756,14,672,4
1076,0,0,0
17077,57,1920,37
1105,111,4333,17
706269,47468,4646622,36404
301,54,2256,19
79564,127,6278,58
48247,127,9211,65
6229,67,3882,56
33053,286,18311,96
19030,1953,37020,631
13727,0,0,0
273925,1928,55745,1102
110710,52,2442,38
5075,1649,59075,608
215228,2,204,0
265126,324,17896,116
35319,0,0,0
2161,38,3538,21
955,219,19567,46
13909,655,30545,356
631846,1074,42743,238
4261,115,6065,47
860,325,15188,69
2,0,0,0
1055,46,1551,18
47735,347,29912,82
15727,394,39801,118
1269,38,2157,76
1494,171,5940,32
3390,26,1010,17
395775,256,11688,51
5541,13,1248,0
2814,101,8433,29
138062,1051,37258,524
5905,10,131,8
41444,196,7796,52
1314,128,4344,25
71222,159,4336,21
140672,23,759,4
97,19,968,10
10407,479,14913,146
2796,72,11588,25
17824,134,6424,44
5498,32,9735,12
173943,840,109044,407
2200,105,3443,21
41410,627,34754,407
24295,2264,276563,1559
2423,94,5936,48
10928,360,13911,202
19534,3478,210007,1743
41431,505,26659,210
5622,214,17462,56
2867,71,1630,15
1060,21,517,2
5,0,0,0
25597,2833,64717,619
560,0,0,0
10988,400,25048,109
96,8,270,1
280903,826,54186,249
526,170,6690,30
238,10,155,4
1007,17,3421,3
1182320,11,666,1
264271,501,19203,74
101,0,0,0
1786,40,1550,8
13320,716,61436,400
5600,516,25736,169
7707,2,9,0
29,0,0,0
339,28,3803,10
2368,98,12364,79
23818,570,36221,157
5760,38,2765,14
2704,0,0,0
54707,164,18228,41
1454,127,3528,29
23015,89,4091,10
2127,422,13838,102
326,29,4864,16
379,30,2352,15
105064,58,8972,8
66121,1247,169858,537
661,0,11,0
170644,42,3538,34
6937,28,5808,6
16769,886,101865,900
24241,69,2290,10
35764,68,3504,43
788,104,4122,30
81969,28,591,5
2698,477,16249,122
26203,105,5166,23
12715,21,2448,4
309,94,1956,21
46080,946,77391,314
60,2,37,0
44,2,178,0
1435,158,5791,60
13084,1031,110049,542
6726,0,0,0
3445,155,7349,30
6201,819,49151,331
44864,13,406,4
3653,110,4819,20
17714,285,30346,131
36397,1424,37799,229
12892,539,64349,431
1725,404,13585,102
42211,2352,104159,635
4888,0,3,0
94110,170,10440,82
1031,54,6000,7
608,55,3148,4
18412,120,6657,31
1680,219,9130,52
409,14,822,3
95,0,0,0
93926,339,7478,34
104,38,1434,46
85,0,0,0
747,55,5512,27
153,28,2748,8
2193,15,1303,7
281,297,3170,586
3176,355,17070,496
31793,962,17071,153
941,0,0,0
1334,515,23445,96
19580,71,8672,10
7500,615,21895,89
39498,221,12164,47
8270,2,97,1
35441,8,357,1
4531,1193,107678,325
941,4,518,4
